iter	Passed	Remaining
712	1564	256
713	1566	254
714	1568	252
715	1570	250
716	1572	247
717	1574	245
718	1576	243
719	1579	241
720	1581	239
721	1583	236
722	1585	234
723	1587	232
724	1589	230
725	1591	227
726	1593	225
727	1595	223
728	1597	221
729	1599	219
730	1601	216
731	1603	214
732	1605	212
733	1607	210
734	1610	208
735	1612	205
736	1614	203
737	1616	201
738	1618	199
739	1620	197
740	1622	194
741	1624	192
742	1626	190
743	1628	188
744	1630	186
745	1632	183
746	1634	181
747	1636	179
748	1638	177
749	1641	175
750	1644	172
751	1646	170
752	1648	168
753	1652	166
754	1654	164
755	1656	162
756	1659	159
757	1661	157
758	1666	155
759	1671	153
760	1675	151
761	1678	149
762	1680	147
763	1682	145
764	1684	143
765	1686	140
766	1688	138
767	1690	136
768	1692	134
769	1695	132
770	1698	129
771	1700	127
772	1702	125
773	1704	123
774	1706	121
775	1708	118
776	1710	116
777	1712	114
778	1714	112
779	1716	110
780	1718	107
781	1720	105
782	1722	103
783	1724	101
784	1726	98
785	1728	96
786	1730	94
787	1732	92
788	1734	90
789	1736	87
790	1738	85
791	1740	83
792	1741	81
793	1743	79
794	1745	76
795	1748	74
796	1750	72
797	1752	70
798	1753	68
799	1755	65
800	1757	63
801	1759	61
802	1761	59
803	1764	57
804	1766	54
805	1768	52
806	1770	50
807	1772	48
808	1774	46
809	1776	43
810	1778	41
811	1780	39
812	1782	37
813	1784	35
814	1786	32
815	1788	30
816	1790	28
817	1792	26
818	1795	24
819	1797	21
820	1799	19
821	1801	17
822	1803	15
823	1805	13
824	1807	10
825	1809	8
826	1811	6
827	1813	4
828	1815	2
829	1817	0
